"Dia","Estació","Nivell absolut (msnm)","Percentatge volum embassat (%)","Volum embassat (hm3)"
"05/02/2026","Embassament de Darnius Boadella (Darnius)","158,10","94,8","60,02"
"05/02/2026","Embassament de Riudecanyes","219,54","100,0","5,32"
"04/02/2026","Embassament de Sau (Vilanova de Sau)","421,16","86,9","144,07"
"04/02/2026","Embassament de Siurana (Cornudella de Montsant)","474,51","45,8","5,51"
"04/02/2026","Embassament de Riudecanyes","219,52","100,0","5,32"
"04/02/2026","Embassament de la Llosa del Cavall (Navès)","804,74","95,3","68,21"
"04/02/2026","Embassament de Sant Ponç (Clariana de Cardener)","529,26","95,7","23,36"
"04/02/2026","Embassament de la Baells (Cercs)","628,97","96,6","105,03"
"04/02/2026","Embassament de Susqueda (Osor)","349,54","96,4","215,49"
"04/02/2026","Embassament de Darnius Boadella (Darnius)","158,08","94,7","59,95"
"04/02/2026","Embassament de Foix (Castellet i la Gornal)","99,44","81,3","2,74"
"03/02/2026","Embassament de Siurana (Cornudella de Montsant)","474,43","45,6","5,47"
"03/02/2026","Embassament de Susqueda (Osor)","349,52","96,3","215,39"
"03/02/2026","Embassament de Sant Ponç (Clariana de Cardener)","529,26","95,8","23,37"
"03/02/2026","Embassament de la Llosa del Cavall (Navès)","804,57","94,7","67,77"
"03/02/2026","Embassament de Riudecanyes","219,48","99,9","5,32"
"03/02/2026","Embassament de la Baells (Cercs)","628,82","96,1","104,52"
"03/02/2026","Embassament de Sau (Vilanova de Sau)","421,32","87,4","144,94"
"03/02/2026","Embassament de Foix (Castellet i la Gornal)","99,45","81,3","2,74"
"03/02/2026","Embassament de Darnius Boadella (Darnius)","158,08","94,7","59,94"
"02/02/2026","Embassament de la Baells (Cercs)","628,68","95,7","104,02"
"02/02/2026","Embassament de Susqueda (Osor)","349,42","96,1","214,82"
"02/02/2026","Embassament de Siurana (Cornudella de Montsant)","474,33","45,2","5,43"
"02/02/2026","Embassament de Darnius Boadella (Darnius)","158,06","94,6","59,87"
"02/02/2026","Embassament de la Llosa del Cavall (Navès)","804,39","94,1","67,30"
"02/02/2026","Embassament de Foix (Castellet i la Gornal)","99,45","81,3","2,74"
"02/02/2026","Embassament de Sant Ponç (Clariana de Cardener)","529,28","95,9","23,40"
"02/02/2026","Embassament de Riudecanyes","219,43","99,5","5,30"
"02/02/2026","Embassament de Sau (Vilanova de Sau)","421,59","88,4","146,51"
"01/02/2026","Embassament de Darnius Boadella (Darnius)","158,03","94,4","59,78"
"01/02/2026","Embassament de Riudecanyes","219,36","99,1","5,27"
"01/02/2026","Embassament de la Llosa del Cavall (Navès)","804,25","93,6","66,95"
"01/02/2026","Embassament de Sant Ponç (Clariana de Cardener)","529,31","96,0","23,43"
"01/02/2026","Embassament de Susqueda (Osor)","349,33","95,9","214,34"
"01/02/2026","Embassament de Siurana (Cornudella de Montsant)","474,23","44,9","5,39"
"01/02/2026","Embassament de la Baells (Cercs)","628,57","95,3","103,63"
"01/02/2026","Embassament de Sau (Vilanova de Sau)","421,87","89,3","148,05"
"01/02/2026","Embassament de Foix (Castellet i la Gornal)","99,46","81,5","2,75"
"31/01/2026","Embassament de Sau (Vilanova de Sau)","422,09","90,1","149,33"
"31/01/2026","Embassament de Siurana (Cornudella de Montsant)","474,12","44,4","5,34"
"31/01/2026","Embassament de Foix (Castellet i la Gornal)","99,47","81,7","2,75"
"31/01/2026","Embassament de Darnius Boadella (Darnius)","157,99","94,2","59,62"
"31/01/2026","Embassament de la Baells (Cercs)","628,44","94,9","103,19"
"31/01/2026","Embassament de la Llosa del Cavall (Navès)","804,10","93,0","66,58"
"31/01/2026","Embassament de Riudecanyes","219,38","99,3","5,28"
"31/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","529,32","96,1","23,45"
"31/01/2026","Embassament de Susqueda (Osor)","349,24","95,6","213,82"
"30/01/2026","Embassament de la Llosa del Cavall (Navès)","803,94","92,5","66,16"
"30/01/2026","Embassament de Sau (Vilanova de Sau)","422,37","91,0","150,96"
"30/01/2026","Embassament de Riudecanyes","219,47","99,8","5,31"
"30/01/2026","Embassament de la Baells (Cercs)","628,28","94,4","102,62"
"30/01/2026","Embassament de Foix (Castellet i la Gornal)","99,48","81,8","2,76"
"30/01/2026","Embassament de Siurana (Cornudella de Montsant)","473,99","44,0","5,29"
"30/01/2026","Embassament de Darnius Boadella (Darnius)","157,94","93,9","59,46"
"30/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","529,29","95,9","23,41"
"30/01/2026","Embassament de Susqueda (Osor)","349,02","95,1","212,63"
"29/01/2026","Embassament de la Baells (Cercs)","628,06","93,7","101,87"
"29/01/2026","Embassament de Riudecanyes","219,46","99,8","5,31"
"29/01/2026","Embassament de Foix (Castellet i la Gornal)","99,52","82,6","2,78"
"29/01/2026","Embassament de la Llosa del Cavall (Navès)","803,75","91,8","65,67"
"29/01/2026","Embassament de Darnius Boadella (Darnius)","158,01","94,3","59,71"
"29/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","529,20","95,4","23,28"
"29/01/2026","Embassament de Sau (Vilanova de Sau)","423,13","93,7","155,37"
"29/01/2026","Embassament de Siurana (Cornudella de Montsant)","473,84","43,5","5,22"
"29/01/2026","Embassament de Susqueda (Osor)","348,19","93,1","208,18"
